编号,姓名,职业,分支,出身,组织,部署花费,标签,天赋
1,左乐,近卫,武者,炎,无,24,近战位，输出，生存,不会成为其他角色的治疗目标，但每次攻击到敌人后恢复自身30生命
2,浊心斯卡蒂,辅助,吟游者,阿戈尔,无,8,远程位，支援，生存，输出,不攻击，持续恢复范围内所有友军生命（每次恢复相当于自身攻击力10%的生命），自身不受鼓舞影响
3,烛煌,术师,本源术师,炎,罗德岛-精英干员,19,远程位，元素，输出，群攻,攻击造成法术伤害，可以造成元素伤害
4,重岳,近卫,斗士,炎,炎-岁,9,近战位，爆发,能够阻挡一个敌人
5,止颂,近卫,无畏者,莱塔尼亚,无,18,近战位，输出,能够阻挡一个敌人
6,早露,狙击,攻城手,乌萨斯,无,22,远程位，输出，控场,优先攻击重量最重的敌人
7,远牙,狙击,神射手,卡西米尔,红松骑士团,20,输出，远程位,优先攻击范围内防御力最低的敌人单位
8,余,重装,本源铁卫,炎,炎-岁,26,近战位，元素，防护,能够阻挡三个敌人，可以进行元素攻击
9,隐德来希,近卫,收割者,卡兹戴尔,无,21,近战位，输出，生存,无法被友方治疗，攻击造成群体伤害，每攻击到一个敌人恢复自身50生命，最大生效数等于阻挡数
10,引星棘刺,特种,炼金师,伊比利亚,无,18,远程位，输出，支援，削弱,可以投掷炼金单元协助作战
11,银灰,近卫,领主,谢拉格,喀兰贸易,18,近战位，输出，支援,可以进行远程攻击，但此时攻击力降低至80%
12,异客,术师,链术师,哥伦比亚,无,31,远程位，输出,攻击造成法术伤害，且会在3个敌人间跳跃，每次跳跃伤害降低15%并造成短暂停顿（精二后为4个敌人）
13,伊内丝,先锋,情报官,卡兹戴尔,巴别塔,9,近战位，费用回复，快速复活,再部署时间减少，可以使用远程攻击
14,伊芙利特,术师,轰击术师,未公开,莱茵生命,32,远程位，群攻，削弱,攻击造成超远距离的群体法术伤害
15,夜莺,医疗,群愈师,卡兹戴尔,无,18,远程位，治疗，支援,同时恢复三个友方单位的生命
16,耀骑士临光,近卫,无畏者,卡西米尔,无,17,近战位，输出,能够阻挡一个敌人
17,焰影苇草,医疗,咒愈师,维多利亚,塔拉,17,远程位，治疗，输出，削弱,攻击造成法术伤害，攻击敌人时为攻击范围内一名友方干员治疗相当于50%伤害的生命值
18,焰尾,先锋,尖兵,卡西米尔,红松骑士团,10,近战位，费用回复，生存,能同时阻挡两个敌人
19,星熊,重装,铁卫,东国,龙门近卫局,23,近战位，防护，输出,能够阻挡三个敌人
20,信仰搅拌机,重装,哨戒铁卫,拉特兰,无,25,近战位，防护 ，输出，支援,能够阻挡三个敌人，可以进行远程攻击
21,新约能天使,特种,怪杰,拉特兰,企鹅物流,13,远程位，输出 ，支援,自身生命会不断流失
22,瑕光,重装,守护者,卡西米尔,无,22,近战位，防护，治疗，输出,技能可以治疗友方单位
23,夕,术师,扩散术师,炎,炎-岁,32,远程位，群攻，输出，控场,攻击造成群体法术伤害
24,乌尔比安,近卫,重剑手,阿戈尔,深海猎人,22,近战位，输出，生存,同时攻击阻挡的所有敌人
25,温蒂,特种,推击手,伊比利亚,无,21,近战位，位移，输出，控场,同时攻击阻挡的所有敌人可以放置于远程位
26,维什戴尔,狙击,投掷手,萨卡兹,巴别塔,23,远程位，输出,攻击对小范围的地面敌人造成两次物理伤害（第二次为余震，伤害降低至攻击力的一半）
27,维纳维多利亚,近卫,术战者,维多利亚,无,19,近战位，输出，生存,攻击造成法术伤害
28,微微安娜,近卫,术战者,莱塔尼亚,无,19,近战位，输出，生存,攻击造成法术伤害
29,推进之王,先锋,尖兵,维多利亚,格拉斯哥帮,12,近战位，费用回复，输出,能同时阻挡两个敌人
30,提丰,狙击,攻城手,萨米,无,22,远程位，输出,优先攻击重量最重的敌人
31,塑心,辅助,巫役,拉特兰,无,16,远程位，元素，支援,攻击造成法术伤害，可以造成元素损伤
32,死芒,术师,塑灵术师,维多利亚,塔拉,19,远程位，召唤，输出,攻击造成法术伤害，可以通过击倒敌人生成召唤物，可攻击到自身召唤物阻挡的敌人
33,斯卡蒂,近卫,无畏者,阿戈尔,深海猎人,17,近战位，输出，生存,能够阻挡一个敌人
34,水月,特种,伏击客,东国,无,21,近战位，输出，控场,拥有50%的物理和法术闪避且不容易成为敌人的攻击目标
35,黍,重装,守护者,炎,炎-岁,22,近战位，防护，治疗，支援,技能能够治疗友方单位
36,弑君者,特种,处决者,乌萨斯,无,12,近战位，快速复活,再部署时间大幅度减少
37,史尔特尔,近卫,术战者,未知,无,19,近战位，输出,攻击造成法术伤害
38,圣约送葬人,近卫,收割者,拉特兰,无,21,近战位，输出,无法被友方治疗，攻击造成群体伤害，每攻击到一个敌人恢复自身50生命，最大生效数等于阻挡数
39,闪灵,医疗,医师,萨卡兹,无,20,远程位，治疗，支援,恢复友方单位生命
40,山,近卫,斗士,哥伦比亚,无,9,近战位，输出，生存,能够阻挡一个敌人
41,森蚺,重装,决战者,萨尔贡,无,33,近战位，输出，生存，防护,只有阻挡敌人时才能够回复技力
42,塞雷娅,重装,守护者,哥伦比亚,莱茵生命,22,近战位，防护，治疗，支援,技能可以治疗友方单位
43,忍冬,先锋,尖兵,叙拉古,无,12,近战位，费用回复，输出,能同时阻挡两个敌人
44,琴柳,先锋,执旗手,维多利亚,无,10,费用回复，支援，近战位,技能发动时阻挡数变为0
45,麒麟R夜刀,特种,处决者,东国,无,10,近战位，快速复活，爆发,再部署时间大幅度减少
46,佩佩,近卫,撼地者,萨尔贡,无,18,近战位，输出，控场,攻击使目标周围的其他敌人受到相当于攻击力50%的群体物理伤害
47,帕拉斯,近卫,教官,米诺斯,无,15,输出，支援，近战位,可以攻击到较远的敌人，攻击自身未阻挡的敌人时攻击力提升至120
48,年,重装,铁卫,炎,炎-岁,23,近战位，防护，支援,能够阻挡三个敌人
49,泥岩,重装,不屈者,卡兹戴尔,无,36,近战位，生存，防护，输出,无法被友方治疗
50,妮芙,术师,本源术师,卡兹戴尔,无,19,远程位，元素，输出，控场,攻击造成法术伤害，可以造成元素伤害
51,能天使,狙击,速射手,拉特兰,企鹅物流,12,远程位，输出,优先攻击空中单位
52,娜仁图亚,狙击,回环射手,萨尔贡,无,14,远程位，输出,持有回旋投射物时才能攻击（投射物需要时间回收）
53,缪尔赛斯,先锋,战术家,哥伦比亚,莱茵生命,13,远程位，控场，费用回复,可以在范围内选择一次战术点来召唤援军，自身攻击援军阻挡的敌人时攻击力提升至150%
54,莫斯提马,术师,扩散术师,拉特兰,无,32,远程位，群攻，支援，控场,攻击造成群体法术伤害
55,魔王,辅助,吟游者,卡兹戴尔,无,10,远程位，支援，生存，输出,不攻击，持续恢复范围内所有友军生命（每次恢复相当于自身攻击力10%的生命），自身不受鼓舞影响
56,迷迭香,狙击,投掷手,哥伦比亚,罗德岛-精英干员,25,远程位，狙击，输出,攻击对小范围的地面敌人造成两次物理伤害（第二次为余震，伤害降低至攻击力的一半）
57,麦哲伦,辅助,召唤师,哥伦比亚,莱茵生命,12,远程位，支援，减速，输出,攻击造成法术伤害，可以使用召唤物协助作战
